id,key,value,type
101682094,oneway,yes,regular
101682094,highway,primary,regular
101682094,maxspeed,100,regular
101878656,bridge,yes,regular
101878656,goods,no,regular
101878656,highway,motorway,regular
101878656,int_ref,AH5,regular
101878656,lanes,2,regular
101878656,layer,1,regular
101878656,name,沪宁高速,regular
101878656,en,Huning Expressway,name
101878656,old_ref,A11,regular
101878656,oneway,yes,regular
101878656,ref,G2;G42,regular
101878846,barrier,toll_booth,regular
101878846,building,yes,regular
101921855,name,苏虞张公路,regular
101921855,lanes,3,regular
101921855,oneway,yes,regular
101921855,source,GPS,regular
101921855,highway,primary,regular
101921855,maxspeed,100,regular
101934269,lanes,1,regular
101934269,layer,1,regular
101934269,bridge,yes,regular
101934269,oneway,yes,regular
101934269,highway,motorway_link,regular
101958461,lanes,1,regular
101958461,oneway,yes,regular
101958461,highway,primary_link,regular
101958865,highway,motorway_link,regular
101958865,lanes,1,regular
101958865,oneway,yes,regular
102218326,building,yes,regular
102218326,levels,1,building
102671649,layer,1,regular
102671649,bridge,yes,regular
102671649,source,bing,regular
102671649,railway,rail,regular
102671785,layer,1,regular
102671785,bridge,yes,regular
102671785,oneway,yes,regular
102671785,source,bing,regular
102671785,highway,trunk_link,regular
102772994,ref,G204,regular
102772994,lanes,2,regular
102772994,bridge,yes,regular
102772994,oneway,yes,regular
102772994,highway,primary,regular
102780897,name,曹安公路,regular
102780897,lanes,1,regular
102780897,oneway,yes,regular
102780897,highway,tertiary,regular
102780897,en,Caoan Highway,name
102780897,right,lane,cycleway
102925726,name,外环西路,regular
102925726,lanes,3,regular
102925726,flagfp,1,regular
102925726,oneway,yes,regular
102925726,highway,primary,regular
102925726,end,3,lanes
102925726,start,3,lanes
103591789,source,Bing,regular
103591789,highway,service,regular
103591789,surface,asphalt,regular
103763566,bridge,yes,regular
103763566,flagfp,1,regular
103763566,highway,primary,regular
103763566,lanes,3,regular
103763566,end,3,lanes
103763566,start,3,lanes
103763566,layer,1,regular
103763566,name,外环北路,regular
103763566,oneway,yes,regular
103763566,ref,G204,regular
103770699,ref,G204,regular
103770699,lanes,2,regular
103770699,oneway,yes,regular
103770699,highway,primary,regular
103778158,lanes,2,regular
103778158,bridge,yes,regular
103778158,oneway,yes,regular
103778158,highway,primary,regular
103910517,source,bing,regular
103910517,waterway,river,regular
104761407,ref,S38,regular
104761407,name,沿江高速,regular
104761407,lanes,2,regular
104761407,oneway,yes,regular
104761407,highway,motorway,regular
104761407,en,Yanjiang Expressway,name
104761407,surface,asphalt,regular
104761407,maxspeed,120,regular
104761507,ref,S38,regular
104761507,name,沿江高速,regular
104761507,lanes,2,regular
104761507,bridge,yes,regular
104761507,oneway,yes,regular
104761507,highway,motorway,regular
104761507,en,Yanjiang Expressway,name
104761507,surface,asphalt,regular
104761507,maxspeed,120,regular
104767639,name,丰华公路,regular
104767639,oneway,yes,regular
104767639,highway,tertiary,regular
104767639,en,Fenghua Highway,name
104807238,ref,X033,regular
104807238,name,浏翔公路,regular
104807238,lanes,2,regular
104807238,oneway,yes,regular
104807238,highway,secondary,regular
104807238,en,Liuxiang Highway,name
104947807,highway,motorway,regular
104947807,lanes,2,regular
104947807,name,上海绕城高速,regular
104947807,en,Shanghai Ring Expressway,name
104947807,old_ref,A30,regular
104947807,oneway,yes,regular
104947807,ref,G1501,regular
104949627,ref,X033,regular
104949627,name,浏翔公路,regular
104949627,lanes,2,regular
104949627,oneway,yes,regular
104949627,highway,secondary,regular
104949627,en,Liuxiang Highway,name
105834298,power,line,regular
105849117,lanes,1,regular
105849117,oneway,yes,regular
105849117,highway,motorway_link,regular
105851349,ref,S48,regular
105851349,name,苏昆太高速,regular
105851349,lanes,3,regular
105851349,oneway,yes,regular
105851349,highway,motorway_link,regular
105851349,en,Sukuntai Expressway,name
105851349,motorroad,yes,regular
106027303,power,line,regular
106027303,voltage,110000,regular
106049554,ref,S338,regular
106049554,lanes,2,regular
106049554,oneway,yes,regular
106049554,highway,primary,regular
106056077,name,金石路,regular
106056077,lanes,2,regular
106056077,oneway,yes,regular
106056077,highway,secondary,regular
106056077,en,Jinshi Road,name
106060218,name,沪太公路,regular
106060218,lanes,1,regular
106060218,oneway,yes,regular
106060218,highway,primary_link,regular
106060218,en,Hutai Highway,name
106903506,ref,S106,regular
106903506,name,沪太公路,regular
106903506,lanes,3,regular
106903506,bridge,yes,regular
106903506,oneway,yes,regular
106903506,highway,primary,regular
106903506,en,Hutai Highway,name
106911940,lanes,1,regular
106911940,oneway,yes,regular
106911940,highway,motorway_link,regular
106977629,highway,motorway,regular
106977629,lanes,3,regular
106977629,layer,1,regular
106977629,name,上海绕城高速,regular
106977629,en,Shanghai Ring Expressway,name
106977629,old_ref,A30,regular
106977629,oneway,yes,regular
106977629,ref,G1501,regular
106990094,lanes,1,regular
106990094,oneway,yes,regular
106990094,highway,motorway_link,regular
106993539,ref,X020,regular
106993539,name,外青松公路,regular
106993539,lanes,2,regular
106993539,bridge,yes,regular
106993539,oneway,yes,regular
106993539,highway,secondary,regular
106993539,en,Waiqingsong Highway,name
107036055,name,港丰公路,regular
107036055,lanes,3,regular
107036055,oneway,yes,regular
107036055,highway,primary,regular
107267374,lanes,1,regular
107267374,oneway,yes,regular
107267374,highway,motorway_link,regular
107268917,highway,motorway,regular
107268917,lanes,2,regular
107268917,name,上海绕城高速,regular
107268917,en,Shanghai Ring Expressway,name
107268917,old_ref,A30,regular
107268917,oneway,yes,regular
107268917,ref,G1501,regular
107788389,lanes,2,regular
107788389,oneway,yes,regular
107788389,highway,motorway_link,regular
107807549,highway,motorway,regular
107807549,lanes,3,regular
107807549,name,沈海高速,regular
107807549,en,Shenhai Expressway,name
107807549,old_name,嘉金高速,regular
107807549,en,Jiajin Expressway,old_name
107807549,old_ref,A5,regular
107807549,oneway,yes,regular
107807549,ref,G15,regular
107807653,highway,motorway,regular
107807653,lanes,2,regular
107807653,name,沪渝高速,regular
107807653,en,Huyu Expressway,name
107807653,old_name,沪青平高速,regular
107807653,en,Huqingping Expressway,old_name
107807653,old_ref,A9,regular
107807653,oneway,yes,regular
107807653,ref,G50,regular
107807791,highway,motorway,regular
107807791,lanes,2,regular
107807791,name,沪渝高速,regular
107807791,en,Huyu Expressway,name
107807791,old_name,沪青平高速,regular
107807791,en,Huqingping Expressway,old_name
107807791,old_ref,A9,regular
